0 0 0
100 2545 2353
200 10027 9635
300 21698 21106
400 39777 38985
500 64506 63515
600 92690 91499
700 126877 125486
800 165209 163618
900 209394 207605
1000 258357 256368
1100 313928 311739
1200 377795 375406
1300 442902 440313
1400 508789 506000
1500 586241 583252
1600 665569 662380
1700 742859 739470
1800 835728 832139
1900 935245 931456
2000 1029702 1025713
2100 1134009 1129820
2200 1244688 1240299
2300 1348788 1344199
2400 1462501 1457712
2500 1591458 1586470
2600 1722053 1716865
2700 1853892 1848504
2800 1997739 1992151
2900 2152933 2147145
3000 2294946 2288958
3100 2442239 2436051
3200 2600646 2594258
3300 2759212 2752624
3400 2938617 2931829
3500 3115507 3108519
3600 3294354 3287166
3700 3461417 3454029
3800 3651258 3643670
3900 3843859 3836071
4000 4041807 4033819
4100 4240321 4232133
4200 4445900 4437512
4300 4666841 4658253
4400 4910581 4901793
4500 5137477 5128489
4600 5348351 5339163
4700 5574840 5565452
4800 5798772 5789184
4900 6044991 6035203
5000 6276124 6266136
5100 6515586 6505398
5200 6760671 6750283
5300 7030399 7019811
5400 7312488 7301700
5500 7571199 7560211
5600 7882561 7871373
5700 8174292 8162904
5800 8449252 8437664
5900 8724450 8712662
6000 9029859 9017871
6100 9334764 9322576
6200 9671445 9659057
6300 9964789 9952201
6400 10308433 10295645
6500 10620885 10607897
6600 10960370 10947182
6700 11272454 11259066
6800 11577021 11563433
6900 11924632 11910844
7000 12286932 12272944
7100 12612774 12598586
7200 12961496 12947108
7300 13292065 13277477
7400 13664559 13649771
7500 14076607 14061619
7600 14404671 14389483
7700 14777988 14762600
7800 15123449 15107861
7900 15483229 15467441
8000 15888355 15872367
8100 16272165 16255977
8200 16735551 16719163
8300 17146157 17129569
8400 17566620 17549832
8500 17975506 17958518
8600 18427005 18409817
8700 18866051 18848663
8800 19274097 19256509
8900 19716527 19698739
9000 20149048 20131060
9100 20578297 20560109
9200 21064158 21045770
9300 21531651 21513063
9400 21933247 21914459
9500 22412753 22393765
9600 22908485 22889297
9700 23428414 23409026
9800 23933468 23913880
9900 24387456 24367668
10000 24903328 24883340
