0 0 0
100 811 161
200 1887 371
300 2853 580
400 4300 806
500 5130 1095
600 7338 1335
700 7921 1610
800 9484 1836
900 10651 2159
1000 12731 2371
1100 13905 2642
1200 14995 2930
1300 15884 3258
1400 19074 3497
1500 21620 3688
1600 21716 4012
1700 23737 4349
1800 25548 4623
1900 25824 4958
2000 26972 5240
2100 27298 5579
2200 33605 5820
2300 31228 6166
2400 32019 6524
2500 33769 6790
2600 41452 6941
2700 37983 7373
2800 42336 7524
2900 40681 7993
3000 45018 8301
3100 48874 8423
3200 45517 8939
3300 49393 9115
3400 48870 9646
3500 54264 9767
3600 53860 10194
3700 55834 10486
3800 58717 10660
3900 62945 11024
4000 59534 11447
4100 60075 11823
4200 64842 11968
4300 65487 12465
4400 70445 12546
4500 67139 13039
4600 72053 13340
4700 73919 13655
4800 81738 13864
4900 81332 14198
5000 78629 14718
5100 82628 14824
5200 86121 15133
5300 83732 15789
5400 86820 15963
5500 83867 16405
5600 84849 16823
5700 87953 17233
5800 89009 17459
5900 97708 17436
6000 91334 18270
6100 96758 18235
6200 104025 18524
6300 99505 18981
6400 101358 19479
6500 108459 19712
6600 105882 20183
6700 111560 20243
6800 110104 20659
6900 115545 20894
7000 118306 21249
7100 112982 22034
7200 122739 21964
7300 121215 22175
7400 118080 22828
7500 133908 22696
7600 125632 23241
7700 130707 23778
7800 124587 24368
7900 134584 24275
8000 130576 24885
8100 133417 25283
8200 132352 25942
8300 137053 25933
8400 139197 26447
8500 141612 26672
8600 144893 26814
8700 139093 27486
8800 148220 27610
8900 147422 27906
9000 156827 28308
9100 146817 29056
9200 155859 28825
9300 159379 29374
9400 162471 29750
9500 150386 30516
9600 181064 30266
9700 165695 30724
9800 165616 31312
9900 177178 31260
10000 178206 31887
